"words in indonesian";"words in english";"sentence in indonesian using the words";"english translation";"part of speech of the words"
"tempat duduk";"seat";"Tempat duduk di dalam kereta api sangat nyaman.";The seats inside the train are very comfortable.;Noun
"tempat kerja";"workplace";"Dia sedang pergi ke tempat kerjanya sekarang.";He is going to his workplace now.;Noun
"tempat makan";"restaurant";"Kami akan makan di tempat makan ini malam ini.";We will eat at this restaurant tonight.;Noun
"tempat tinggal";"residence";"Dia memiliki banyak tempat tinggal di berbagai kota.";He has multiple residences in various cities.;Noun
"tempe";"tempeh";"Saya suka makan tempe yang diolah dengan baik.";I enjoy eating well-prepared tempeh.;Noun
"tenggara";"southeast";"Rumah saya terletak di tenggara kota.";My house is located in the southeast of the city.;Noun
"tenggorokan";"throat";"Sakit tenggorokan adalah gejala pilek yang umum.";Sore throat is a common symptom of a cold.;Noun
"tentang";"about";"Buku ini berbicara tentang sejarah peradaban manusia.";This book is about the history of human civilization.;Preposition
"tentara";"soldier";"Tentara itu melindungi negara dari ancaman.";Those soldiers protect the country from threats.;Noun
"tentu saja";"of course";"Apakah kamu ingin bergabung dengan kami? Tentu saja!";Do you want to join us? Of course!;Phrase
"tepi";"edge";"Dia berdiri di tepi tebing yang tinggi.";She stood at the edge of the high cliff.;Noun
"terasa";"feel";"Rasanya minuman ini sangat segar.";This drink feels very refreshing.;Verb
"terasi";"shrimp paste";"Aroma terasi begitu kuat dan khas.";The aroma of shrimp paste is strong and distinctive.;Noun
"terbang";"fly";"Burung-burung itu terbang dengan lincah di langit biru.";The birds fly gracefully in the blue sky.;Verb
"terbuat dari";"made of";"Gulai ini terbuat dari daging kambing yang lezat.";This curry is made of delicious goat meat.;Preposition
"terburu-buru";"hurried";"Kami harus pergi, jadi jangan terlalu terburu-buru.";We need to go, so don't be too hurried.;Adjective
"tergantung";"dependent";"Dia adalah pemuda yang sangat tergantung pada orang tua.";He is a young man who is very dependent on his parents.;Adjective
"tergantung pada";"depending on";"Kami akan tiba di sana tepat waktu, tergantung pada lalu lintas.";We will arrive there on time, depending on the traffic.;Preposition
"terima kasih";"thank you";"Terima kasih atas bantuannya.";Thank you for your help.;Phrase
"terima kasih kembali";"you're welcome";"Terima kasih atas undangannya. Terima kasih kembali.";Thank you for the invitation. You're welcome.;Phrase
