"pariwisata";"tourism";"Indonesia memiliki banyak tempat wisata yang menarik untuk dikunjungi";"Indonesia has many interesting tourism places to visit";"noun, noun"
"pasar swalayan";"supermarket";"Saya suka belanja di pasar swalayan karena harga barangnya lebih murah";"I like shopping at the supermarket because the prices of the goods are cheaper";"noun, noun"
"pasien";"patient";"Saya perlu mengunjungi dokter gigi karena gigi saya sakit dan perlu diperiksa oleh dokter untuk memastikan saya tidak memiliki masalah gigi yang serius";"I need to visit the dentist because my tooth hurts and needs to be checked by the dentist to make sure I don't have a serious tooth problem";"noun"
"paspor";"passport";"Saya perlu membuat paspor baru karena akan berlibur ke luar negeri dalam waktu dekat";"I need to make a new passport because I am going to travel abroad soon";"noun"
"pasta gigi";"toothpaste";"Anda perlu menggosok gigi minimal dua kali sehari dan menggunakan pasta gigi yang mengandung fluoride untuk menjaga kebersihan gigi dan gusi Anda";"You need to brush your teeth at least twice daily and use toothpaste that contains fluoride to maintain the cleanliness of your teeth and gums";"noun, noun"
"patah";"broken";"Kaca jendela di kamar saya patah, saya harus memperbaikinya sebelum hujan datang";"The window glass in my room is broken, I have to fix it before the rain comes";"adjective"
"patung";"statue";"Patung Dewi Kwan Im di Vihara Dharma Bhakti sangat indah";"The statue of Goddess Kwan Im in Vihara Dharma Bhakti is very beautiful";"noun"
"paus";"whale";"Paus adalah mamalia laut terbesar di dunia";"Whales are the largest marine mammals in the world";"noun"
"payung";"umbrella";"Saya membawa payung karena cuaca hari ini terlihat cerah tetapi bisa saja turun hujan kapan saja";"I bring an umbrella because today's weather looks bright but it could rain anytime";"noun"
"peach";"peach";"Saya suka makan masakan atau minuman yang menggunakan buah persik sebagai bahan karena rasanya manis dan segar";"I like eating dishes or drinks that use peach fruit as an ingredient because it tastes sweet and fresh";"noun"
"pecahan kecil";"small pieces";"Sayuran seperti wortel dan buncis harus dipotong menjadi pecahan kecil agar lebih mudah dimasak";"Vegetables such as carrots and green beans should be cut into small pieces for easier cooking";"noun, adjective"
"pedas";"spicy";"Makanan di restoran ini sangat pedas, jadi pastikan Anda memesan yang tidak terlalu pedas jika Anda tidak terbiasa makan makanan pedas";"The food at this restaurant is very spicy, so make sure you order something that is not too spicy if you are not used to eating spicy food";"adjective"
"pedesaan";"rural";"Saya lahir dan tinggal di pedesaan, jadi saya terbiasa dengan suasana alam yang indah dan bersih";"I was born and live in a rural area, so I am used to the beautiful and clean natural atmosphere";"adjective, noun"
"pegawai";"employee";"Para pegawai di perusahaan ini sangat profesional dan ramah terhadap pelanggan";"The employees at this company are very professional and friendly towards customers";"noun"
"pegawai kantor";"office worker";"Saya ingin menjadi seorang pegawai kantor karena saya suka bekerja dengan orang dan ingin meningkatkan kemampuan komunikasi saya";"I want to become an office worker because I like working with people and want to improve my communication skills";"noun"
"pegunungan";"mountains";"Pemandangan di pegunungan sangat indah, udara segar dan lingkungan yang tenang";"The scenery in the mountains is very beautiful, fresh air and a peaceful environment";"noun, adjective"
"pekerja konstruksi";"construction worker";"Pekerja konstruksi harus menyelesaikan tugas mereka dengan teliti dan hati-hati untuk memastikan keselamatan mereka sendiri dan orang lain di sekitar mereka";"Construction workers must complete their tasks carefully and carefully to ensure their own safety and that of others around them";"noun"
"pekerjaan";"job";"Saya ingin mencari pekerjaan yang saya sukai dan memberikan tantangan baru setiap hari";"I want to find a job that I like and provides new challenges every day";"noun"
"pekerjaan rumah";"homework";"Anak-anak di sekolah harus menyelesaikan pekerjaan rumah mereka setiap hari agar terbiasa dengan belajar secara mandiri dan meningkatkan kemampuan akademik mereka";"School children must complete their homework every day to be familiar with independent learning and improve their academic abilities";"noun"
"pelajaran";"lesson";"Pelajaran di sekolah sangat beragam dan menarik, ada pelajaran matematika, bahasa, seni, olahraga, dan masih banyak lagi";"The lessons in school are very diverse and interesting, there are mathematics, language, art, sports lessons, and many more";"noun"
