Words in Indonesian;Words in English;Sentence in Indonesian using the words;English Translation;Part of speech of the words
"lelah";"tired";"Saya merasa lelah setelah bekerja sepanjang hari.";I feel tired after working all day.;Adjective
"ringan";"light";"Tasnya ringan dan mudah dibawa.";The bag is light and easy to carry.;Adjective
"siaran";"broadcast";"Acara tersebut akan disiarkan langsung di televisi.";The event will be broadcasted live on TV.;Noun
"saling";"mutual";"Kerjasama yang baik hanya bisa dicapai melalui pengertian saling menghargai.";Good cooperation can only be achieved through mutual understanding and respect.;Adjective
"selamatkan";"save";"Mari kita bersama-sama berusaha untuk selamatkan bumi kita.";Let's work together to save our planet.;Verb
"nafsu";"desire";"Dia tahu cara memuaskan nafsu pelanggannya.";He knows how to satisfy his customers' desires.;Noun
"pernahkah";"have ever";"Pernahkah kamu mengunjungi kebun binatang di sini sebelumnya?";Have you ever visited the zoo here before?;Adverb
"memperkenalkan";"introduce";"Izinkan saya untuk memperkenalkan diri, nama saya adalah Andi.";Allow me to introduce myself, my name is Andi.;Verb
"pemuda";"youth";"Pemuda-pemudi di masa kini memiliki banyak peluang untuk berprestasi.";Today's youth have many opportunities to achieve excellence.;Noun
"paksaan";"coercion";"Tidak ada yang suka dipaksa, mari kita berbicara dengan cara yang lebih baik.";No one likes coercion, let's talk in a better way.;Noun
"jaringan";"network";"Dalam dunia bisnis, memiliki jaringan yang luas sangat penting.";In the business world, having a wide network is very important.;Noun
"kenang-kenangan";"souvenir";"Saya membeli kenang-kenangan untuk keluarga ketika berada di sana.";I bought souvenirs for my family when I was there.;Noun
"menyebar";"spread";"Kabar burung itu menyebar dengan cepat di lingkungan sekitar.";The rumor spread quickly in the surrounding community.;Verb
"jangan-jangan";"perhaps";"Jangan-jangan mereka sudah tiba di sana sebelum kita.";Perhaps they have already arrived there before us.;Adverb
"kenyamanan";"comfort";"Mereka selalu memperhatikan kenyamanan para tamu.";They always pay attention to the comfort of their guests.;Noun
"memberitahu";"inform";"Tolong beritahu saya jika ada informasi lebih lanjut.";Please inform me if there is further information.;Verb
"kesalahan";"mistake";"Dia tidak suka menerima kesalahan dari bawahannya.";He doesn't like receiving mistakes from his subordinates.;Noun
"lengkap";"complete";"Saya ingin belajar bahasa Inggris secara lengkap dan terstruktur.";I want to learn English completely and structurally.;Adjective
"resep";"recipe";"Tolong berikan resep sup ayammu yang enak itu.";Please give me your recipe for that delicious chicken soup.;Noun
"lakukanlah";"do it";"Ayo lakukanlah apa yang kamu inginkan, jangan ragu!";Come on, do what you want, don't hesitate!;Verb
