"Words in Indonesian";"Words in English";"Sentence in Indonesian using the words";"English Translation";"Part of Speech of the words"
"gempa bumi";"earthquake";"Gempa bumi terjadi tiba-tiba di tengah malam."; "An earthquake happened suddenly in the middle of the night."; "noun"
"gedung pencakar langit";"skyscraper";"Di kota besar, gedung pencakar langit banyak ditemukan."; "In big cities, skyscrapers are found in abundance."; "noun"
"gelap";"dark";"Saat sudah gelap, sebaiknya kamu kembali ke rumah."; "When it's dark, you should go back home."; "adjective"
"gaun";"dress";"Gaun yang dikenakan oleh pengantin sungguh indah."; "The wedding dress worn by the bride was truly beautiful."; "noun"
"gantungan mantel";"coat hanger";"Letakkan jaketmu pada gantungan mantel itu."; "Put your jacket on that coat hanger."; "noun"
"garpu";"fork";"Gunakan garpu saat makan steak untuk memotong daging."; "Use a fork to cut the meat when eating steak."; "noun"
"gempa bumi";"earthquake";"Banyak bangunan hancur akibat gempa bumi yang terjadi kemarin."; "Many buildings were destroyed due to yesterday's earthquake."; "noun"
"gelas anggur";"wine glass";"Mereka akan menikmati segelas anggur saat makan malam."; "They will enjoy a glass of wine during dinner."; "noun"
"garis-garis";"stripes";"Bajuku memiliki motif garis-garis yang warnanya seimbang."; "My clothes have stripes pattern with balanced colors."; "noun"
"gaun malam";"evening gown";"Raisa tampil memukau dengan gaun malamnya pada acara tersebut."; "Raisa looked stunning with her evening gown at the event."; "noun"
"gedung apartemen";"apartment building";"Banyak orang yang tinggal di gedung apartemen karena harganya yang lebih terjangkau."; "Many people live in an apartment building because it is more affordable."; "noun"
"gas";"gas";"Pastikan area tersebut tidak terdapat gas sebelum melakukan pengelasan."; "Make sure the area is free of gas before welding."; "noun"
"gedung olahraga";"sport center";"Gedung olahraga itu dilengkapi dengan berbagai fasilitas untuk kegiatan olahraga."; "The sport center is equipped with various facilities for sports activities."; "noun"
"gelisah";"anxious";"Ia merasa gelisah dan tak bisa diam menunggu kabar dari sahabatnya."; "She felt anxious and couldn't sit still waiting for news from her friend."; "adjective"
"gejala";"symptom";"Salah satu gejala flu adalah demam."; "One symptom of flu is fever."; "noun"
"garis-garis kecil";"pinstripe";"Ia suka menggunakan jas dengan motif garis-garis kecil."; "He likes to wear suits with pinstripe pattern."; "noun"
"gatal";"itchy";"Kaki saya terasa gatal setelah berjalan seharian."; "My feet feel itchy after walking all day."; "adjective"
"gedung";"building";"Gedung ini merupakan landmark kota tersebut karena arsitekturnya yang unik."; "This building is a landmark of the city due to its unique architecture."; "noun"
"gaya";"style";"Banyak blog fashion yang membahas tentang gaya busana korea."; "Many fashion blogs discuss Korean fashion style."; "noun"
"garam";"salt";"Tambahkan sedikit garam untuk membuat masakanmu lebih enak."; "Add a pinch of salt to make your dish taste better."; "noun"
