"hidung mampat";"stuffy nose";"Ibu mengalami hidung mampat";"Mother has a stuffy nose";"noun, adjective"
"hijau";"green";"Rumput di taman berwarna hijau";"The grass in the park is green";"adjective"
"hitam";"black";"Baju dalamku berwarna hitam";"My underwear is black";"adjective"
"hiu";"shark";"Aku takut bertemu hiu di lautan";"I'm afraid to meet a shark in the ocean";"noun"
"hoki es";"ice hockey";"Sama-sama suka bermain hoki es";"We both love to play ice hockey";"noun"
"hot dog";"hot dog";"Aku memesan hot dog untuk sarapan pagi";"I ordered a hot dog for breakfast";"noun"
"hotel";"hotel";"Kami menginap di hotel selama tiga hari";"We stayed in a hotel for three days";"noun"
"hotmail";"hotmail";"Aku memeriksa emailku di Hotmail";"I checked my email on Hotmail";"noun"
"hubungan lokal";"local connection";"Hubungan lokal yang baik penting dalam bisnis";"Good local connections are important in business";"noun"
"hujan";"rain";"Hujan turun selama tiga jam tadi malam";"It rained for three hours last night";"noun"
"hujan badai";"storm rain";"Hujan badai selalu membuatku merasa takut";"Storm rain always makes me feel scared";"noun"
"hujan bercampur salju";"sleet";"Hujan bercampur salju membuat jalan menjadi licin";"Sleet makes the road slippery";"noun"
"hujan deras";"heavy rain";"Hujan deras membuat sungai meluap";"Heavy rain causes the river to overflow";"noun"
"hujan es";"hail";"Kami terkejut ketika hujan es turun pada bulan Juli";"We were surprised when hail fell in July";"noun"
"huruf";"letter";"Aku meminta temanku untuk menulis surat untukku karena aku tak bisa membaca huruf";"I asked my friend to write a letter for me because I can't read letters";"noun"
"hutan";"forest";"Hutan di belakang rumahku sangat indah";"The forest behind my house is very beautiful";"noun"
"hutan hujan";"rainforest";"Indonesia memiliki hutan hujan yang luas";"Indonesia has a vast rainforest";"noun"
"Ibu";"Mother";"Ibu saya sangat baik hati";"My mother is very kind";"noun"
"ibu jari";"thumb";"Aku terluka di ibu jari kananku";"I injured my right thumb";"noun"
"ibu rumah tangga";"housewife";"Ibu rumah tangga harus mengurus rumah tangga sehari-hari";"Housewives have to take care of household chores every day";"noun"
