"anjing";"dog";"Anjing itu lucu";"The dog is cute";"noun"
"-nya";"his/her";"Buku itu sudah hilang di tangan -nya";"The book is already lost in his/her hand";"pronoun"
"kepunyaan";"possession";"Mobil ini adalah kepunyaan saya";"This car is my possession";"noun"
"sabuk";"belt";"Tolong ikatkan sabuk keselamatan Anda";"Please fasten your seatbelt";"noun"
"kaus kaki";"socks";"Dia hanya memakai sepatu tanpa kaus kaki";"He only wears shoes without socks";"noun"
"bawa";"bring";"Jangan lupa bawa payung";"Don't forget to bring an umbrella";"verb"
"pakai";"wear";"Dia suka pakai baju biru";"He likes to wear blue clothes";"verb"
"menggunakan";"use";"Dia menggunakan telepon genggam itu";"He uses that mobile phone";"verb"
"sepasang sepatu";"pair of shoes";"Tolong ambilkan sepasang sepatu ini";"Please get me this pair of shoes";"noun"
"tapi";"but";"Dia miskin, tapi dia bahagia";"He is poor, but he is happy";"conjunction"
"tetapi";"however";"Saya sudah memasak nasi, tetapi masih belum siap";"I have cooked the rice, however it's still not ready";"conjunction"
"saat";"moment";"Dia senang pada saat itu";"He was happy at that moment";"noun"
"waktu";"time";"Sekarang sudah waktunya untuk pergi";"Now it's time to go";"noun"
"berada";"be";"Buku itu berada di atas meja";"The book is on the table";"verb"
"bersaing";"compete";"Tim kami bersaing di Kejuaraan Dunia";"Our team competes in the World Championship";"verb"
"berlaku";"apply";"Peraturan ini berlaku untuk semua anggota";"This rule applies to all members";"verb"
"berharap";"hope";"Saya berharap impian saya bisa tercapai";"I hope my dream can come true";"verb"
"berjumpa";"meet";"Kita akan berjumpa di kedai kopi";"We will meet at the coffee shop";"verb"
"kah";"particle for question";"Apakah kamu suka makan nasi?";"Do you like eating rice?";"particle"
"betul";"true";"Pernyataanmu itu betul sekali";"Your statement is absolutely true";"adjective"
