"sebelas";"eleven";"Dia ulang tahun ke sebelas hari ini."; "It's his eleventh birthday today."; "number"
"sedang";"while";"Saya sedang makan, jangan ganggu."; "I'm eating, don't disturb me."; "adverb"
"sedih";"sad";"Hari ini saya merasa sangat sedih."; "I feel very sad today."; "adjective"
"segel";"seal";"Tolong berikan saya segel ini."; "Please give me this seal."; "noun"
"sejarah";"history";"Pelajari sejarah agar tidak mengulang kesalahan."; "Study history so as not to repeat mistakes."; "noun"
"sejuk";"cool";"Cuaca sangat sejuk hari ini."; "The weather is very cool today."; "adjective"
"sekali lagi";"once again";"Saya harus mengatakan ini sekali lagi."; "I have to say this once again."; "adverb"
"Sekarang jam berapa?";"What time is it now?";"Sekarang jam berapa? Saya terlambat."; "What time is it now? I'm late."; "question sentence"
"sekolah musim panas";"summer school";"Dia akan mengikuti sekolah musim panas."; "She's going to attend summer school."; "noun phrase"
"sekretaris";"secretary";"Saya butuh sekretaris baru."; "I need a new secretary."; "noun"
"sekrup";"screw";"Tolong beli dua sekrup ini."; "Please buy these two screws."; "noun"
"selada";"lettuce";"Saya suka makan selada."; "I like to eat lettuce."; "noun"
"Selamat datang";"Welcome";"Selamat datang di toko kami."; "Welcome to our store."; "greeting"
"Selamat pagi";"Good morning";"Selamat pagi! Apa kabar?"; "Good morning! How are you?"; "greeting"
"selangkangan";"groin";"Dia mengalami cedera pada selangkangannya."; "He has an injury in his groin."; "noun"
"Selasa";"Tuesday";"Saya akan mengunjungi dokter pada Selasa."; "I am going to visit the doctor on Tuesday."; "noun"
"selat";"strait";"Kami akan menyeberangi selat itu dengan kapal."; "We will cross that strait by boat."; "noun"
"seledri";"celery";"Tambahkan seledri ke dalam sup ini."; "Add celery to this soup."; "noun"
"selesai bekerja";"finished working";"Saya akan pulang sekarang karena selesai bekerja."; "I'm going home now because I'm finished working."; "adverbial phrase"
"selimut";"blanket";"Tolong berikan saya selimut ini, saya merasa kedinginan."; "Please give me this blanket, I feel cold."; "noun"
