tinggi;height;Bertambahnya populasi menyebabkan pembangunan bangunan bertingkat tinggi di kota-kota besar;Increasing population leads to the construction of high-rise buildings in big cities.;Noun, adjective;200
praktek;practice;Pelayanan publik harus dilakukan dengan praktek yang baik dan benar;Public services should be carried out with good and correct practices.;Noun, verb;201
dan sebagainya;and so on;Beliau mendapatkan pengalaman dalam bidang desain grafis, pembuatan website, dan sebagainya;He gained experience in graphic design, website creation, and so on.;Phrase;202
matahari;sun;Ada penelitian yang menunjukkan bahwa paparan langsung dari matahari pada kulit dapat menyebabkan kerusakan sel;There is research that shows direct exposure to the sun on the skin can cause cell damage.;Noun;203
api;fire;Korban kebakaran membutuhkan bantuan dalam bentuk logistik dan obat-obatan untuk mengatasi luka bakar karena terkena api;Fire victims need assistance in the form of logistics and medication to treat burns from fire.;Noun;204
langsung;direct;Pengunjung disarankan untuk bertanya langsung pada pegawai IFI terkait program-program terbaru yang tersedia;Visitors are advised to directly ask IFI staff about the latest available programs.;Adverb, adjective;205
agama;religion;Kebebasan beragama di Indonesia dijamin oleh Pancasila dan UUD 1945;Freedom of religion in Indonesia is guaranteed by Pancasila and the 1945 Constitution.;Noun;206
ketua;leader;Ketua mahasiswa telah mengevaluasi kinerja pengurus organisasi untuk menentukan keberlanjutan program kerja;The student leader has evaluated the organizational leadership's performance to determine the continuity of work programs.;Noun;207
menyebutkan;mention;Pemerintah daerah memberikan apresiasi pada pelopor desa wisata dan menyebutkan sejumlah manfaat yang bisa didapatkan dari sektor pariwisata;The local government appreciates the pioneer of tourist villages and mentions several benefits that can be obtained from the tourism sector.;Verb;208
mampu;able;Mahasiswa seharusnya mampu memahami materi kuliah dan melakukan evaluasi diri untuk meningkatkan prestasi akademik;Students should be able to understand lecture materials and perform self-evaluation to improve academic achievement.;Adjective;209
kedalam;into;Pemilik toko bangunan harus memperhatikan kualitas cat agar bisa menahan cuaca dan menjaga keindahan dinding kedalam waktu yang lama;Building store owners should pay attention to the quality of paint to withstand weather and maintain wall aesthetics for a long time.;Preposition;210
lingkungan;environment;Perencanaan pembangunan harus memperhatikan dampak yang ditimbulkan pada lingkungan sekitar;Development planning must pay attention to the impact on the surrounding environment.;Noun;211
usul;proposal;Mahasiswa harus mengajukan usul riset kepada dosen pembimbing dan melakukan penelitian yang berguna untuk masyarakat;Students should propose research proposals to their supervising lecturers and conduct research that is useful for society.;Noun, verb;212
bangunan;building;Kawasan kota tua menawarkan wisata sejarah dengan bangunan kolonial yang masih terjaga dengan baik;The old town area offers historical tourism with well-preserved colonial buildings.;Noun;213
memberikan;give;Pelajar diharapkan dapat memberikan sumbangan pada masyarakat yang membutuhkan dengan cara melakukan penggalangan dana;Students are expected to give contributions to needy communities by conducting fundraising activities.;Verb;214
memanggil;call;Pihak hotel akan memanggil tamu saat check-in di lobi untuk mempersiapkan proses pendaftaran;The hotel staff will call guests during check-in in the lobby to prepare the registration process.;Verb;215
demikianlah;thus;Mahasiswa perlu mempersiapkan diri dengan baik untuk mengikuti ujian yang terdiri dari soal essay, pilihan ganda, dan demikianlah;Students need to prepare themselves well to take exams that consist of essay questions, multiple-choice, and thus.;Adverb;216
hari-hari;daily;Pakaian seragam sekolah digunakan oleh pelajar pada hari-hari sekolah agar dihindari terjadinya bullying terhadap siswa yang berbeda pakaian;School uniforms are worn by students on school days to avoid bullying against students who wear different clothes.;Noun, adjective;217
kunjungan;visit;Kunjungan wisata ke Pulau Komodo menawarkan pengalaman yang tidak terlupakan dengan keindahan alam dan satwa liar yang langka;Tourist visits to Komodo Island offer unforgettable experiences with natural beauty and rare wildlife.;Noun, verb;218
kurangnya;lack;Adanya kurangnya sumber daya manusia dan teknologi menjadi kendala utama dalam pengembangan pariwisata daerah;The lack of human resources and technology is a major obstacle in the development of regional tourism.;Noun;219
