"berbalik";"turn";"Saat dia disuruh pulang, dia berbalik dan menatap aku";"When he was told to go home, he turned around and looked at me";"verb"
"mendapatkan";"get";"Aku ingin mendapatkan pekerjaan yang bagus setelah lulus kuliah";"I want to get a good job after graduating from college";"verb"
"menolong";"help";"Ayahku selalu siap menolong orang yang membutuhkan";"My father is always ready to help people in need";"verb"
"pesan";"message, order";"Aku ingin memberikan pesan penting kepada kalian semua";"I want to give an important message to all of you";"noun, verb"
"jujur";"honest";"Selalu jujur dalam semua hal yang kamu lakukan";"Always be honest in everything you do";"adjective"
"hanya-hanya";"just for fun";"Kami pergi ke taman hanya-hanya untuk bersantai dan menikmati pemandangan";"We went to the park just for fun to relax and enjoy the view";"adverb"
"kebebasan";"freedom";"Setiap orang berhak mendapatkan kebebasan untuk mengejar cita-citanya";"Everyone deserves the freedom to pursue their dreams";"noun"
"kampung";"village";"Dia tumbuh besar di kampung dan selalu merindukan kehidupan di sana";"He grew up in a village and always misses life there";"noun"
"tanganmu";"your hand";"Pegang erat-erat tanganmu saat kita menyeberangi jalan";"Hold your hand tight when we cross the street";"noun"
"kerasnya";"toughness";"Berlatihlah dengan kerasnya agar kamu bisa meraih kemenangan";"Train tough so you can achieve victory";"adverb"
"pemerintah";"government";"Pemerintah harus melindungi dan mengayomi rakyatnya";"The government must protect and nurture its people";"noun"
"memilih";"choose";"Anda harus memilih dengan bijak mana yang terbaik untukmu";"You have to choose wisely which one is best for you";"verb"
"makanan";"food";"Aku menyukai makanan yang sehat dan bergizi";"I like healthy and nutritious food";"noun"
"takdir";"destiny";"Saya percaya bahwa takdir adalah apa yang sudah ditentukan oleh Tuhan";"I believe that destiny is what God has predetermined";"noun"
"merindukan";"miss";"Aku merindukanmu setiap hari";"I miss you every day";"verb"
"setuju";"agree";"Saya setuju dengan pendapatmu";"I agree with your opinion";"verb"
"musim";"season";"Musim panas adalah waktu yang tepat untuk berlibur";"Summer is the perfect time to go on vacation";"noun"
"mendapat";"obtain";"Dia telah berhasil mendapat pekerjaan impian setelah berjuang keras";"He has successfully obtained his dream job after struggling hard";"verb"
"keadaan";"condition";"Kamu harus menyesuaikan diri dengan keadaan baru agar bisa bertahan hidup disana";"You have to adapt to the new condition in order to survive there";"noun"
"bawa";"bring";"Tolong bawa kopermu sendiri saat kita pergi liburan";"Please bring your own suitcase when we go on vacation";"verb"
