"delapan belas";"eighteen";"Saya sudah berusia delapan belas tahun."; "I am already eighteen years old."; "noun-adjective"
"delapan puluh delapan";"eighty-eight";"Dia memiliki delapan puluh delapan ayam di peternakan."; "He has eighty-eight chickens on the farm."; "noun-noun"
"delapan ratus";"eight hundred";"Harganya delapan ratus ribu rupiah."; "The price is eight hundred thousand rupiah."; "noun-noun"
"delapan ribu";"eight thousand";"Dia menghasilkan delapan ribu dolar dalam sebulan."; "He earns eight thousand dollars a month."; "noun-noun"
"demam";"fever";"Saya merasa tidak enak badan dan mengalami demam."; "I feel unwell and have a fever."; "noun"
"denda";"fine";"Saya harus membayar denda sebesar seratus ribu rupiah."; "I have to pay a fine of one hundred thousand rupiah."; "noun"
"deodoran";"deodorant";"Saya tidak bisa keluar rumah tanpa mengenakan deodoran."; "I cannot leave the house without wearing deodorant."; "noun"
"derajat";"degree";"Suhu di luar sangat panas, mencapai empat puluh derajat Celcius."; "The temperature outside is very hot, reaching forty degrees Celsius."; "noun"
"desainer";"designer";"Dia adalah desainer terkenal di kota ini."; "He is a well-known designer in this city."; "noun"
"Desember";"December";"Tahun ini, hari Natal jatuh pada tanggal dua puluh lima Desember."; "This year, Christmas day falls on December twenty-fifth."; "noun"
"detik";"second";"Waktu yang dibutuhkan untuk menyelesaikan lomba itu hanya beberapa detik saja."; "The time required to finish the race is only a few seconds."; "noun"
"di bawah nol";"below zero";"Suhu di luar sangat dingin, di bawah nol derajat Celcius."; "The temperature outside is very cold, below zero degrees Celsius."; "adposition-adjective"
"di bawah titik beku";"below freezing";"Suhu di luar berada di bawah titik beku, sangat dingin."; "The temperature outside is below freezing, very cold."; "adposition-noun"
"dibangunkan lewat telepon";"woken up by phone";"Saya dibangunkan lewat telepon oleh teman saya."; "I was woken up by phone by my friend."; "verb-preposition-noun"
"dikte";"dictation";"Guru memberikan dikte dalam bahasa Inggris untuk berlatih listening."; "The teacher gave a dictation in English to practice listening."; "noun"
"dinding";"wall";"Saya melihat ada lukisan di dinding kamar itu."; "I see a painting on the wall of that room."; "noun"
"dingin";"cold";"Hari ini cuaca sangat dingin dan saya harus berpakaian tebal."; "Today the weather is very cold and I have to wear thick clothing."; "adjective"
"direktur";"director";"Saya bekerja di bawah naungan seorang direktur yang sangat baik hati."; "I work under the supervision of a very kind director."; "noun"
"diskusi";"discussion";"Diskusi ini akan membahas topik penting dalam pengembangan bisnis kami."; "This discussion will cover important topics in our business development."; "noun"
"dokter";"doctor";"Saya mengunjungi dokter untuk memeriksa kesehatan saya."; "I visited the doctor to have my health checked."; "noun"
