"words in indonesian";"words in english";"sentence in indonesian using the words";"english translation";"part of speech of the words"
"diduga";"alleged";"Dia";"He";"Verb";"diduga";"is alleged";"is alleged to have committed a crime";"is alleged to have committed a crime.";"Verb"
"didukung";"supported";"Proyek ini";"This project";"Verb";"didukung";"is supported";"is supported by several stakeholders";"is supported by several stakeholders.";"Verb"
"dipakai";"used";"Baju ini";"This dress";"Verb";"dipakai";"is worn";"is worn by many celebrities";"is worn by many celebrities.";"Verb"
"dilarang";"prohibited";"Kegiatan ini";"This activity";"Verb";"dilarang";"is prohibited";"is prohibited in this area";"is prohibited in this area.";"Verb"
"ditangkap";"arrested";"Pencuri itu";"The thief";"Verb";"ditangkap";"was arrested";"was arrested yesterday";"was arrested yesterday.";"Verb"
"dipimpin";"led";"Perusahaan ini";"This company";"Verb";"dipimpin";"is led";"is led by a visionary CEO";"is led by a visionary CEO.";"Verb"
"diperiksa";"examined";"Dokter";"The doctor";"Verb";"diperiksa";"examined";"examined the patient thoroughly";"examined the patient thoroughly.";"Verb"
"diproduksi";"produced";"Makanan ini";"This food";"Verb";"diproduksi";"is produced";"is produced using organic ingredients";"is produced using organic ingredients.";"Verb"
"dinilai";"considered";"Film ini";"This movie";"Verb";"dinilai";"is considered";"is considered the best of the year";"is considered the best of the year.";"Verb"
"dibentuk";"formed";"Tim baru";"A new team";"Verb";"dibentuk";"was formed";"was formed to tackle the issue";"was formed to tackle the issue.";"Verb"
"diangkat";"appointed";"Dia";"He";"Verb";"diangkat";"was appointed";"was appointed as the new manager";"was appointed as the new manager.";"Verb"
"dipilih";"chosen";"Kandidat terbaik";"The best candidate";"Verb";"dipilih";"was chosen";"was chosen for the award";"was chosen for the award.";"Verb"
"diminta";"asked";"Siswa itu";"The student";"Verb";"diminta";"was asked";"was asked to solve the problem";"was asked to solve the problem.";"Verb"
"ditambah";"added";"Jumlah ini";"This quantity";"Verb";"ditambah";"is added";"is added to the total";"is added to the total.";"Verb"
"dikeluarkan";"issued";"Pernyataan ini";"This statement";"Verb";"dikeluarkan";"is issued";"is issued by the government";"is issued by the government.";"Verb"
"diterbitkan";"published";"Buku itu";"That book";"Verb";"diterbitkan";"was published";"was published last month";"was published last month.";"Verb"
"dikira";"thought";"Dia";"He";"Verb";"dikira";"is thought";"is thought to be the suspect";"is thought to be the suspect.";"Verb"
"disangka";"suspected";"Penyanyi ini";"This singer";"Verb";"disangka";"is suspected";"is suspected of using doping";"is suspected of using doping.";"Verb"
"disokong";"supported";"Proyek";"The project";"Verb";"disokong";"is supported";"is supported by the community";"is supported by the community.";"Verb"
"dibantu";"assisted";"Pasien";"The patient";"Verb";"dibantu";"is assisted";"is assisted by a dedicated nurse";"is assisted by a dedicated nurse.";"Verb"
