"Kamis";"Thursday";"Kamis ini saya akan pergi ke taman dengan teman-teman saya";"This Thursday I am going to the park with my friends";"Noun, Noun, Verb, Adverb, Verb, Personal Pronoun, Noun"
"Kamu berasal dari mana?";"Where are you from?";"Kamu berasal dari mana?";"Where are you from?";"Personal Pronoun, Verb, Preposition, Noun, Interrogative Pronoun"
"kamus";"dictionary";"Saya membutuhkan kamus untuk membantu saya belajar bahasa Indonesia";"I need a dictionary to help me learn Indonesian";"Personal Pronoun, Verb, Noun, Conjunction, Verb, Personal Pronoun, Verb, Adjective, Noun"
"Kanada";"Canada";"Saya bercita-cita pergi ke Kanada pada suatu saat nanti";"I aspire to go to Canada someday";"Personal Pronoun, Verb, Verb, Preposition, Noun, Adverb, Adverb"
"kanan";"right";"Kami akan belok ke kanan pada persimpangan berikutnya";"We will turn right at the next intersection";"Personal Pronoun, Modal Verb, Verb, Preposition, Adjective, Noun, Preposition, Determiner, Adjective, Noun"
"kancing";"button";"Saya kehilangan satu kancing di baju saya";"I lost one button on my shirt";"Personal Pronoun, Verb, Numeral, Noun, Preposition, Noun, Personal Pronoun"
"kanguru";"kangaroo";"Kanguru hidup di Australia dan ada sekitar 60 jenis";"Kangaroos live in Australia and there are about 60 species";"Noun, Verb, Preposition, Proper Noun, Conjunction, Existential Verb, Adverb, Numeral, Noun"
"kantong";"pocket";"Saya menemukan uang dua puluh ribu di kantong celana saya";"I found twenty thousand rupiah in my pants pocket";"Personal Pronoun, Verb, Numeral, Noun, Preposition, Noun, Personal Pronoun"
"kantong muntah";"vomit bag";"Pesawat selalu menyediakan kantong muntah untuk penumpang";"Airplanes always provide vomit bags for passengers";"Noun, Adverb, Verb, Noun, Preposition, Noun, Preposition, Noun"
"kantor dokter";"doctor's office";"Saya perlu periksa gigi di kantor dokter gigi ini";"I need to have my teeth checked at this dental office";"Personal Pronoun, Modal Verb, Verb, Noun, Preposition, Noun, Adjective, Pronoun, Verb, Possessive Adjective, Noun"
"kantor polisi";"police station";"Saya pergi ke kantor polisi untuk melaporkan kehilangan dompet saya";"I went to the police station to report my lost wallet";"Personal Pronoun, Verb, Preposition, Noun, Conjunction, Verb, Pronoun, Possessive Adjective, Adjective, Noun"
"kantor pos";"post office";"Apakah kamu sudah pernah ke kantor pos baru ini?";"Have you ever been to this new post office?";"Interrogative Pronoun, Personal Pronoun, Adverb, Verb, Adverb, Preposition, Pronoun, Adjective, Noun"
"kaos dalam";"underwear";"Saya harus membeli beberapa pasang kaos dalam baru";"I need to buy some new underwear";"Personal Pronoun, Modal Verb, Verb, Determiner, Numeral, Noun, Adjective"
"kaos kaki";"socks";"Kaki saya kedinginan, saya butuh kaos kaki";"My feet are cold, I need some socks";"Noun, Personal Pronoun, Verb, Adjective, Pronoun, Verb, Determiner, Noun"
"kaos oblong";"t-shirt";"Saya membeli kaos oblong baru untuk liburan saya";"I bought a new t-shirt for my vacation";"Personal Pronoun, Verb, Determiner, Adjective, Noun, Adjective, Preposition, Pronoun, Noun"
"kapal feri";"ferry boat";"Saya akan naik kapal feri untuk perjalanan kali ini";"I am going to take a ferry boat for this trip";"Personal Pronoun, Modal Verb, Verb, Noun, Adjective, Preposition, Determiner, Noun, Pronoun"
"kapan";"when";"Kapan kamu akan datang ke pesta ulang tahun saya?";"When will you come to my birthday party?";"Interrogative Pronoun, Personal Pronoun, Modal Verb, Verb, Preposition, Noun, Adjective, Noun, Pronoun"
"kapur";"chalk";"Sekolah saya meminta saya membawa kapur putih untuk tulisan di papan blackboard";"My school asked me to bring white chalk for writing on the blackboard";"Personal Pronoun, Noun, Personal Pronoun, Verb, Pronoun, Verb, Noun, Adjective, Preposition, Noun, Preposition, Noun"
"karakter";"character";"Karakter saya sangat penting bagi saya";"My character is very important to me";"Noun, Pronoun, Adverb, Adjective, Preposition, Pronoun"
"karangan";"essay";"Saya menulis karangan tentang pengalaman liburan saya musim panas ini";"I wrote an essay about my summer vacation experience";"Personal Pronoun, Verb, Noun, Preposition, Noun, Preposition, Pronoun, Noun, Pronoun, Adjective, Noun"
