"bercerita";"telling stories";"Aku suka bercerita tentang pengalaman saya saat bepergian.";"I like telling stories about my travel experiences.";"verb"
"beneran";"really";"Apakah kamu beneran merasa siap untuk ujian besok?";"Do you really feel ready for tomorrow's exam?";"adverb"
"mengganggu";"annoying";"Suara bising tetangga sedang sangat mengganggu saya.";"The noisy neighbor's sound is very annoying me.";"adjective"
"kejadian";"incident";"Kejadian itu membuat saya merasa sedih.";"The incident makes me feel sad.";"noun"
"berharga";"valuable";"Kenangan itu sangat berharga bagi saya.";"The memory is very valuable to me.";"adjective"
"sampai-sampai";"to the extent of";"Dia senang sampai-sampai melompat-lompat.";"He's so happy to the extent of jumping around.";"adverb"
"sama-sama-sama";"together";"Kami pergi ke pasar sama-sama-sama.";"We went to the market together.";"adverb"
"danau";"lake";"Pemandangan di sekitar danau sangat indah.";"The scenery around the lake is very beautiful.";"noun"
"belajarlah";"learn";"Sudah saatnya kamu belajarlah ilmu baru.";"It's time for you to learn new knowledge.";"verb"
"membandingkan";"compare";"Dia suka membandingkan harga barang di toko yang berbeda.";"He likes to compare product prices at different stores.";"verb"
"tersedia";"available";"Apakah kamar kosong masih tersedia?";"Is the empty room still available?";"adjective"
"hidupnya";"his/her life";"Saya ingin tahu lebih banyak tentang hidupnya.";"I want to know more about his/her life.";"noun"
"mengerikan";"terrible";"Kejadian itu sangat mengerikan dan menyedihkan.";"The incident is very terrible and sad.";"adjective"
"menjalin";"establish";"Sulit untuk menjalin hubungan dengan orang yang kita tidak kenal.";"It is difficult to establish a relationship with a stranger.";"verb"
"keren";"cool";"Gitar itu terlihat sangat keren.";"The guitar looks very cool.";"adjective"
"meminjamkan";"lend";"Bisakah kamu meminjamkan saya buku kamu?";"Can you lend me your book?";"verb"
"gemar";"fond";"Saya gemar makan cokelat setiap hari.";"I am fond of eating chocolate every day.";"adjective"
"bergairah";"enthusiastic";"Dia selalu bersemangat dan bergairah dalam bekerja.";"He is always enthusiastic in working.";"adjective"
"melindungi";"protect";"Orang tua biasanya melindungi anak mereka dari bahaya.";"Parents usually protect their children from danger.";"verb"
"kagum";"admire";"Saya kagum dengan kerja keras dan ketekunanmu dalam belajar.";"I admire your hard work and diligence in studying.";"verb"
