"words in indonesian"; "words in english"; "sentence in indonesian using the words"; "english translation"; "part of speech of the words"
"yakin"; "confident"; "Saya yakin bisa menang dalam perlombaan ini"; "I am confident that I can win this competition"; "adjective"
"yang"; "which"; "Buku yang kamu baca sangat menarik"; "The book which you're reading is very interesting"; "pronoun"
"yang akan datang"; "future"; "Pertemuan yang akan datang akan membahas tentang teknologi terbaru"; "The upcoming meeting will discuss the latest technology"; "noun"
"yang di sana"; "over there"; "Tolong ambil buku yang di sana"; "Please take the book over there"; "noun"
"yang ini"; "this one"; "Saya lebih suka buah yang ini daripada yang itu"; "I prefer this one fruit over that one"; "pronoun"
"yang itu"; "that one"; "Maukah kamu memberikan aku bukumu yang itu?"; "Would you give me that book of yours?"; "pronoun"
"yang lain"; "others"; "Tolong beri aku pilihan yang lain"; "Please give me other options"; "pronoun"
"yang lalu"; "in the past"; "Pada hari yang lalu, kami memiliki pesta yang besar"; "In the past, we used to have grand parties"; "noun"
"yang mana"; "which one"; "Buku mana yang kamu sukai lebih banyak?"; "Which book do you like more?"; "pronoun"
"yuk"; "let's go"; "Yuk pergi ke taman dan bermain bersama"; "Let's go to the park and play together"; "interjection"
"Yunani"; "Greece"; "Kami sedang merencanakan perjalanan ke Yunani tahun depan"; "We are planning a trip to Greece next year"; "noun"
"zaman"; "era"; "Zaman sekarang, teknologi berkembang sangat pesat"; "In this era, technology is rapidly advancing"; "noun"
