"abu-abu";"grey";"Mobil itu berwarna abu-abu";"That car is grey";"adjective"
"AC split";"split AC";"Saya memasang AC split di rumah saya";"I installed split AC in my house";"noun"
"AC window";"window AC";"AC window sangat berguna di musim panas";"Window AC is very useful in summers";"noun"
"acara";"program";"Saya suka menonton acara TV";"I like watching TV programs";"noun"
"acara TV";"TV program";"Acara TV favorit saya adalah acara berita";"My favorite TV program is the news program";"noun"
"Ada apa?";"What's up?";"Saya bertanya kepadanya, ada apa?";"I asked him, what's up?";"interjection"
"adik laki-laki";"younger brother";"Adik laki-laki saya sedang sekolah";"My younger brother is in school";"noun"
"adik perempuan";"younger sister";"Adik perempuan saya belajar di universitas";"My younger sister studies at the university";"noun"
"Afrika";"Africa";"Saya ingin pergi ke Afrika untuk safari";"I want to go to Africa for a safari";"noun"
"agama Buddha";"Buddhism";"Agama Buddha adalah agama di Asia";"Buddhism is a religion in Asia";"noun"
"agama Hindu";"Hinduism";"Agama Hindu adalah agama tertua di dunia";"Hinduism is the oldest religion in the world";"noun"
"agama Islam";"Islam";"Agama Islam adalah agama mayoritas di Indonesia";"Islam is the majority religion in Indonesia";"noun"
"agama Katolik";"Catholicism";"Agama Katolik adalah agama utama di negara saya";"Catholicism is the main religion in my country";"noun"
"agama Kristen";"Christianity";"Agama Kristen berasal dari tanah Timur Tengah";"Christianity originated from the Middle East";"noun"
"agas";"gasoline";"Saya mengisi agas ke mobil saya";"I filled gasoline in my car";"noun"
"Agustus";"August";"Saya lahir pada bulan Agustus";"I was born in August";"noun"
"air";"water";"Tubuh manusia terdiri dari 70% air";"The human body consists of 70% water";"noun"
"air mata";"tears";"Dia menangis dan air mata mengalir di pipinya";"She cried and tears flowed down her cheeks";"noun"
"air mendidih";"boiling water";"Saat air mendidih, suhunya mencapai 100 derajat Celsius";"When water boils, its temperature reaches 100 degrees Celsius";"noun"
"air terjun";"waterfall";"Air terjun yang indah itu terletak di pedalaman";"That beautiful waterfall is located in the interior";"noun"
