"lansia";"elderly";"Beberapa anak merasa khawatir tentang kesehatan lansia mereka."; "Some children are worried about the health of their elderly."; "noun, adjective"

"lantai";"floor";"Lantai kayu lebih indah daripada lantai keramik."; "Wooden floors are more beautiful than ceramic floors."; "noun"

"lantai bawah";"ground floor";"Toko buku itu berada di lantai bawah pusat perbelanjaan."; "The book store is located on the ground floor of the shopping center."; "noun"

"lap";"wipe";"Saya akan membereskan tumpahan itu dengan lap kering."; "I will clean up the spill with a dry wipe."; "verb, noun"

"lapangan bermain";"playground";"Anak-anak senang bermain di lapangan bermain dekat rumah mereka."; "Children enjoy playing at the playground near their house."; "noun"

"lapar";"hungry";"Saya merasa lapar, apakah ada restoran di dekat sini?"; "I'm feeling hungry, is there any restaurant nearby?"; "adjective"

"laporan";"report";"Saya harus menyelesaikan laporan penting ini sebelum akhir pekan."; "I have to finish this important report before the end of the week."; "noun"

"laporan cuaca";"weather report";"Laporan cuaca menunjukkan bahwa akan ada hujan deras malam ini."; "The weather report shows that there will be heavy rain tonight."; "noun"

"laptop";"laptop";"Saya selalu membawa laptop saya ke kantor."; "I always bring my laptop to the office."; "noun"

"lari";"run";"Saya suka lari di taman setiap pagi."; "I like to run in the park every morning."; "verb"

"lari pagi";"morning run";"Lari pagi adalah cara yang bagus untuk memulai hari."; "Morning run is a great way to start the day."; "noun"

"latihan";"practice/training";"Kami akan melakukan latihan untuk pertunjukan musik besok malam."; "We will do practice for the music performance tomorrow night."; "noun"

"layanan bangun tidur";"Wake-up service";"Hotel ini menawarkan layanan bangun tidur gratis untuk tamunya."; "This hotel offers a free wake-up service for its guests."; "noun"

"layanan binatu";"Laundry service";"Rumah sakit ini menyediakan layanan binatu untuk pasien mereka."; "This hospital provides laundry service for their patients."; "noun"

"layanan kamar";"Room service";"Hotel ini menawarkan layanan kamar 24 jam."; "This hotel offers 24-hour room service."; "noun"

"layar";"sail";"Kita akan mengangkat layar kapal ini dan berlayar ke pulau yang jauh darisini."; "We will hoist the sail of this ship and sail to the faraway island from here."; "noun, verb"

"layu";"wither";"Tumbuhan itu layu karena kurang mendapat air."; "The plant withers due to lack of water."; "verb"

"lebah";"bee";"Lebah mengumpulkan nektar dan membuat madu."; "Bees collect nectar and make honey."; "noun"

"leher";"neck";"Saya merasa pegal pada leher saya setelah mengetik sepanjang hari."; "I feel stiff in my neck after typing all day."; "noun"

"lem";"glue";"Saya perlu lem untuk merekatkan potongan kain yang sobek itu."; "I need glue to stick the torn piece of cloth."; "noun"
