"words in indonesian";"words in english";"sentence in indonesian using the words";"english translation";"part of speech"
"menyayangi";"to love";"Saya menyayangi keluarga saya.";"I love my family.";"verb"
"menaruh respek";"to respect";"Kita harus menaruh respek pada orang tua.";"We should respect our parents.";"verb"
"semoga";"hopefully";"Semoga kamu berhasil dalam ujian.";"Hopefully you will succeed in the exam.";"adverb"
"bengkak";"swollen";"Kakiku bengkak setelah terjatuh.";"My leg is swollen after falling.";"adjective"
"klinik";"clinic";"Saya pergi ke klinik untuk periksa kesehatan.";"I went to the clinic for a health check.";"noun"
"imunisasi";"immunization";"Anak-anak perlu dilakukan imunisasi agar terhindar dari penyakit.";"Children need to be immunized to prevent diseases.";"noun"
"disuntik";"injected";"Saya tidak suka saat disuntik.";"I don't like being injected.";"verb"
"terkilir";"sprained";"Kakiku terkilir saat bermain sepak bola.";"I sprained my leg while playing soccer.";"verb"
"dibersihkan";"cleaned";"Tolong dibersihkan kamar mandinya.";"Please clean the bathroom.";"verb"
"parah";"severe";"Kecelakaan itu menyebabkan cedera parah.";"The accident resulted in severe injuries.";"adjective"
"batuk pilek";"cold and cough";"Anakku sedang demam, batuk pilek.";"My child has a fever, cold, and cough.";"noun"
"bumi";"earth";"Kita harus menjaga kebersihan bumi ini.";"We should take care of the cleanliness of this earth.";"noun"
"polusi";"pollution";"Polusi udara sangat berbahaya bagi kesehatan.";"Air pollution is very harmful to health.";"noun"
"mencemari";"to pollute";"Jangan mencemari sungai dengan sampah.";"Do not pollute the river with trash.";"verb"
"benih";"seed";"Petani menabur benih di ladang.";"The farmers sow seeds in the field.";"noun"
"lumpur";"mud";"Jalan itu penuh dengan lumpur setelah hujan.";"The road is full of mud after the rain.";"noun"
"planet";"planet";"Bumi adalah salah satu planet dalam tata surya.";"Earth is one of the planets in the solar system.";"noun"
"tumbuhan";"plant";"Tumbuhan memerlukan air dan sinar matahari untuk hidup.";"Plants need water and sunlight to survive.";"noun"
"gempa";"earthquake";"Gempa bumi terjadi pada pukul 10 malam kemarin.";"An earthquake occurred at 10 PM last night.";"noun"
"asap";"smoke";"Rumah itu terbakar dan dipenuhi asap.";"The house is on fire and filled with smoke.";"noun"
