"words in indonesian";"words in english";"sentence in indonesian using the words";"english translation";"part of speech of the words"
"selanjutnya";"next";"Selanjutnya, kami akan menyajikan hasil penelitian kami.";"Next, we will present our research findings.";"Adverb"
"artinya";"meaning";"Artinya, ia menolak tawaran itu.";"Meaning, he rejected the offer.";"Noun"
"tetap";"keep";"Saya harus tetap tenang di tengah kekacauan.";"I have to keep calm in the midst of chaos.";"Adverb"
"memberi";"give";"Kita harus selalu memberi yang terbaik.";"We should always give our best.";"Verb"
"sederhana";"simple";"Dalam hidup, terkadang sederhana lebih baik daripada rumit.";"In life, sometimes simple is better than complicated.";"Adjective"
"atau";"or";"Apakah Anda ingin kopi atau teh?";"Do you want coffee or tea?";"Conjunction"
"merupakan";"is, are, am";"Dia merupakan teman baik saya.";"He is my good friend.";"Verb"
"usia";"age";"Usia tidak menghalangi seseorang untuk mencapai impian mereka.";"Age doesn't stop someone from achieving their dreams.";"Noun"
"semua";"all";"Semua orang membutuhkan waktu istirahat.";"Everyone needs rest.";"Pronoun"
"membangun";"build";"Kami harus membangun hubungan kerja yang kuat.";"We should build a strong working relationship.";"Verb"
"melakukan";"do";"Apa yang bisa kamu lakukan untuk membantu?";"What can you do to help?";"Verb"
"sama";"same";"Kami bertiga memiliki pandangan yang sama tentang hal ini.";"The three of us have the same view on this.";"Adjective"
"lebih";"more";"Saya ingin belajar lebih banyak bahasa asing.";"I want to learn more foreign languages.";"Adverb"
"berat";"heavy";"Kotak ini sangat berat, saya butuh bantuanmu.";"This box is very heavy, I need your help.";"Adjective"
"saatnya";"time";"Saatnya untuk mengambil tindakan.";"It's time to take action.";"Noun"
"biasanya";"usually";"Saya biasanya tidur enam jam setiap malam.";"I usually sleep for six hours every night.";"Adverb"
"terkenal";"famous";"Pelukis itu terkenal dengan lukisannya yang indah.";"The painter is famous for his beautiful paintings.";"Adjective"
"kebutuhan";"need";"Kami harus memenuhi kebutuhan dasar penduduk desa itu.";"We have to fulfill the basic needs of the village residents.";"Noun"
"berusaha";"try";"Saya selalu berusaha melakukan yang terbaik.";"I always try to do my best.";"Verb"
"kira-kira";"about, around";"Kira-kira berapa lama perjalanan ini?";"About how long is this journey?";"Adverb"
