"ayam";"chicken";"Ayam goreng adalah hidangan favorit saya."; "Fried chicken is my favorite dish."; "Noun, Noun"
"ayam jago";"rooster";"Ayam jago berkokok di pagi hari."; "The rooster crows in the morning."; "Noun, Noun"
"babi";"pig";"Babi itu sangat gemuk."; "That pig is very fat."; "Noun"
"babi hutan";"wild boar";"Babi hutan sangat langka."; "Wild boars are very rare."; "Noun, Noun"
"badai pasir";"sandstorm";"Badai pasir terjadi di padang pasir."; "Sandstorms occur in the desert."; "Noun, Noun"
"badak";"rhinoceros";"Badak adalah hewan yang besar dan kuat."; "Rhinos are big and strong animals."; "Noun"
"Bagaimana keadaanmu?";"How are you?";"Bagaimana keadaanmu hari ini?"; "How are you today?"; "Interrogative phrase"
"bagian IT";"IT department";"Saya bekerja di bagian IT perusahaan itu."; "I work in the IT department of that company."; "Noun, Noun"
"Bagus sekali!";"Excellent!";"Pertunjukan itu bagus sekali!"; "That show was excellent!"; "Interjection"
"bahan";"material";"Bahan yang digunakan dalam produk ini sangat berkualitas."; "The materials used in this product are of high quality."; "Noun"
"bahasa";"language";"Bahasa yang saya gunakan adalah bahasa Indonesia."; "The language I use is Indonesian."; "Noun"
"Bahasa Inggris";"English language";"Belajar Bahasa Inggris akan sangat membantu kamu."; "Learning English will be very helpful for you."; "Noun, Noun"
"baik";"good";"Saya merasa baik hari ini."; "I feel good today."; "Adjective"
"baik hati";"kind";"Dia adalah orang yang sangat baik hati."; "She is a very kind person."; "Adjective, Noun"
"Baik-baik saja";"I'm fine";"Saya baik-baik saja, terima kasih."; "I'm fine, thank you."; "Phrase"
"baju hangat";"warm clothes";"Saya membutuhkan baju hangat untuk menghadapi dinginnya musim dingin."; "I need warm clothes to face the cold of winter."; "Noun, Noun"
"baju olahraga";"sportswear";"Saya perlu membeli baju olahraga baru."; "I need to buy new sportswear."; "Noun"
"baju renang";"swimsuit";"Saya akan pergi ke pantai dan harus membeli baju renang."; "I'm going to the beach and need to buy a swimsuit."; "Noun"
"bakmi";"noodle";"Saya sangat suka makan bakmi goreng."; "I really like to eat fried noodles."; "Noun"
"balap mobil";"car racing";"Balap mobil adalah olahraga yang sangat menarik untuk ditonton."; "Car racing is a very exciting sport to watch."; "Noun, Noun"
