"words in indonesian";"words in english";"sentence in indonesian using the words";"english translation";"part of speech of the words"
"plester perban";"band-aid";"Saat saya jatuh dari sepeda, saya memerlukan plester perban.";"When I fell off my bike, I needed a Band-Aid.";"noun, noun"
"pohon";"tree";"Dia mencintai pohon karena itu memberikan udara segar untuk bernapas.";"He loves trees because they provide fresh air to breathe.";"noun"
"pohon cedar";"cedar tree";"Pohon cedar memiliki bau yang kuat dan disukai oleh banyak orang.";"Cedar trees have a strong smell and are loved by many people.";"noun, noun"
"pohon cemara";"fir tree";"Di musim dingin, pohon cemara menambahkan cahaya dan kehangatan pada hari-hari yang dingin.";"In the winter, fir trees add brightness and warmth to cold days.";"noun, noun"
"pohon dedalu";"paper mulberry tree";"Pohon dedalu digunakan untuk membuat kertas tradisional.";"Paper mulberry trees are used to make traditional paper.";"noun"
"pohon ek";"oak tree";"Pohon ek adalah simbol kehidupan dan kekuatan yang tumbuh subur.";"Oak trees are a symbol of life and flourishing strength.";"noun"
"pohon maple";"maple tree";"Setiap musim gugur, pohon maple mengubah tampilan keindahan.";"Every fall season, maple trees transform the appearance of beauty.";"noun"
"pojok";"corner";"Anak kecil itu bermain-main di pojok taman.";"The little child was playing in the corner of the park.";"noun"
"poker";"poker";"Dia terampil dalam bermain poker dan menang setiap kali dia bermain.";"He's skillful at playing poker and wins every time he plays.";"noun"
"polisi";"police";"Polisi di sini sangat ramah dan membantu orang-orang.";"The police here are very friendly and helpful to people.";"noun"
"polkadot";"polka dots";"Baju yang saya kenakan hari ini memiliki polkadot lucu.";"The dress I'm wearing today has cute polka dots.";"noun"
"pon";"pony";"Anak perempuan itu sangat senang dengan kuda poninya yang baru.";"The little girl was very happy with her new pony.";"noun"
"pon Inggris";"English pony";"Pon Inggris sering digunakan untuk memangkas rumput di kebun.";"English ponies are often used for trimming grass in gardens.";"noun, adjective"
"ponsel";"cellphone";"Saya bergantung pada ponsel saya sepanjang hari untuk berkomunikasi dengan orang.";"I rely on my cellphone all day to communicate with people.";"noun"
"populer";"popular";"Seri televisi itu sangat populer di kalangan anak-anak.";"The television series is very popular among children.";"adjective"
"Portugal";"Portugal";"Dia sangat mencintai Portugal dan selalu ingin berkunjung ke sana.";"He loves Portugal very much and always wants to visit there.";"noun"
"pos kilat";"express mail";"Saya harus mengirim dokumen penting melalui pos kilat untuk memastikan mereka tiba tepat waktu.";"I have to send important documents through express mail to ensure they arrive on time.";"noun, noun"
"pos tercatat";"registered mail";"Pos tercatat adalah cara terbaik untuk memastikan paket saya aman selama pengiriman.";"Registered mail is the best way to ensure my package is safe during shipment.";"noun, adjective"
"pos udara";"airmail";"Pos udara memungkinkan saya untuk mengirim pesan dengan cepat dan efisien ke orang lain.";"Airmail allows me to send messages quickly and efficiently to others.";"noun, noun"
"potongan harga";"discount";"Saya membeli beberapa baju baru karena mereka diberikan potongan harga yang besar.";"I bought some new clothes because they were given a big discount.";"noun"
