"apotek";"pharmacy";"Saya pergi ke apotek";"I'm going to the pharmacy";"noun"
"Arab Saudi";"Saudi Arabia";"Dia berasal dari Arab Saudi";"He comes from Saudi Arabia";"proper noun"
"asal";"origin";"Saya ingin tahu asal muasalnya";"I want to know its origin";"noun"
"asli";"original";"Ini buku asli";"This is an original book";"adjective"
"atap";"roof";"Rumah ini memiliki atap yang cantik";"This house has a beautiful roof";"noun"
"ayah";"father";"Ayahku adalah seorang dokter";"My father is a doctor";"noun"
"ayam goreng";"fried chicken";"Saya suka makan ayam goreng";"I like eating fried chicken";"noun"
"ayat";"verse";"Bacalah ayat yang ini";"Read this verse";"noun"
"ayo";"let's go";"Ayo pergi ke taman";"Let's go to the park";"phrase"
"badan";"body";"Dia memiliki badan yang atletis";"He has an athletic body";"noun"
"Badan Usaha Milik Negara";"State-Owned Enterprises";"Perusahaan ini adalah Badan Usaha Milik Negara";"This company is a State-Owned Enterprises";"proper noun"
"bagaimana kalau";"how about";"Bagaimana kalau kita pergi ke pantai?";"How about we go to the beach?";"phrase"
"bagus";"good";"Buku ini sangat bagus";"This book is very good";"adjective"
"bahagia";"happy";"Semua orang ingin bahagia";"Everyone wants to be happy";"adjective"
"bahasa Belanda";"Dutch language";"Dia bisa berbicara bahasa Belanda";"He can speak Dutch";"noun"
"bahasa Cina";"Chinese language";"Saya ingin belajar bahasa Cina";"I want to learn Chinese";"noun"
"bahasa Indonesia";"Indonesian language";"Mari kita berbicara dalam bahasa Indonesia";"Let's speak in Indonesian";"noun"
"bahasa Inggris";"English language";"Saya berbicara bahasa Inggris dengan baik";"I speak English fluently";"noun"
"bahwa";"that";"Saya tahu bahwa kamu pintar";"I know that you are smart";"conjunction"
"baik-baik saja";"fine";"Saya merasa baik-baik saja";"I feel fine";"phrase"
