"menjadi cerah";"brighten up";"Setelah hujan, langit akan menjadi cerah";"After the rain, the sky will brighten up";"verb, adjective"
"menjahit";"sew";"Saya suka menjahit pakaian baru";"I like to sew new clothes";"verb"
"menjawab";"answer";"Tolong jawab pertanyaan ini";"Please answer this question";"verb"
"menjengkelkan";"annoying";"Suaranya yang keras sangat menjengkelkan";"His loud voice is very annoying";"adjective"
"menjijikkan";"disgusting";"Kotorannya terlihat sangat menjijikkan";"His poop looks very disgusting";"adjective"
"menonton";"watch";"Saya suka menonton film horor";"I like to watch horror movies";"verb"
"mentega";"butter";"Saya suka makan roti dengan mentega";"I like to eat bread with butter";"noun"
"mentimun";"cucumber";"Saya tidak suka makan mentimun mentah";"I don't like to eat raw cucumber";"noun"
"menu";"menu";"Restoran ini memiliki menu yang lengkap";"This restaurant has a complete menu";"noun"
"menugaskan";"assign";"Boss telah menugaskan saya dengan proyek besar";"The boss has assigned me with a big project";"verb"
"menukar";"exchange";"Saya ingin menukar uang dollar ke rupiah";"I want to exchange dollars to rupiah";"verb"
"menukar uang";"exchange money";"Saya harus menukar uang sebelum pergi ke luar negeri";"I have to exchange money before going abroad";"verb phrase"
"menulis surat";"write a letter";"Saya harus menulis surat untuk permohonan kerja";"I have to write a letter for a job application";"verb phrase"
"menumis";"stir-fry";"Saya suka menumis sayuran dengan bawang putih";"I like to stir-fry vegetables with garlic";"verb"
"menunggang kuda";"ride a horse";"Saya pernah menunggang kuda di pegunungan";"I have ridden a horse in the mountains";"verb"
"menunggu";"wait";"Saya bosan menunggu lama di bandara";"I am bored waiting for a long time at the airport";"verb"
"menutup";"close";"Tolong jangan menutup jendela itu";"Please don't close that window";"verb"
"menyajikan";"serve";"Saya akan menyajikan kue untuk tamu";"I will serve cake for guests";"verb"
"menyakitkan";"painful";"Pengalaman itu sangat menyakitkan";"That experience was very painful";"adjective"
"menyalakan";"turn on";"Tolong bantuan saya untuk menyalakan lampu itu";"Please help me to turn on that lamp";"verb"
