"words in indonesian";"words in english";"sentence in indonesian using the words";"english translation";"part of speech of the words"
"kering";"dry";"Saat musim kemarau, tanah menjadi kering."; "During the dry season, the ground becomes dry."; "adjective"
"menghibur";"entertain";"Banyak orang menonton film untuk menghibur diri."; "Many people watch movies to entertain themselves.";"verb"
"antar";"deliver";"Saya pergi ke kantor pos untuk mengantar surat."; "I went to the post office to deliver the letter."; "verb"
"dibicarakan";"talked about";"Kabar itu telah dibicarakan oleh banyak orang."; "The news has been talked about by many people.";"noun"
"bergegas";"hurry";"Dia harus bergegas agar tidak terlambat."; "She had to hurry so she wouldn't be late.";"verb"
"percuma";"useless";"Belajar matematika dengan malas-malasan sama saja percuma."; "Studying math lazily is just useless.";"adjective"
"kaitan";"relationship";"Hubungan persahabatan mereka memiliki kaitan yang erat."; "Their friendship has a close relationship.";"noun"
"anjing";"dog";"Dia memelihara anjing yang sangat lincah."; "He has a very agile dog.";"noun"
"nonton";"watch";"Saya ingin nonton bioskop malam ini."; "I want to watch at the cinema tonight.";"verb"
"sementara";"while";"Sementara itu, ayah sedang memasak."; "Meanwhile, dad is cooking.";"conjunction"
"barat";"west";"Saya tinggal di bagian barat kota."; "I live in the western part of the city.";"noun"
"menghubungkan";"connect";"Jembatan ini menghubungkan dua kota yang berbeda."; "This bridge connects two different cities.";"verb"
"berasa";"feel";"Air es berasa sangat menyegarkan di hari yang panas ini."; "I feel very refreshed drinking ice water on this hot day.";"verb"
"pengaruhnya";"influence";"Pengaruhnya sangat besar dalam pembentukan kebijakan ini."; "His influence was very big in the formation of this policy.";"noun"
"lainnya";"other";"Saya masih memiliki beberapa buku lainnya yang belum dibaca."; "I still have several other books that I haven't read.";"adjective"
"ngobrol";"chat";"Jangan hanya diam, mari ngobrol."; "Don't just stay quiet, let's chat.";"verb"
"campur";"mix";"Saya suka makanan yang dicampur banyak sayuran."; "I like food that is mixed with a lot of vegetables.";"verb"
"miring";"tilted";"Gambar itu terlihat miring."; "The picture looks tilted.";"adjective"
"tetaplah";"keep";"Tetaplah tenang dan jangan panik."; "Stay calm and don't panic.";"verb"
"sesuai";"suitable";"Pilihlah baju yang sesuai dengan acara."; "Choose clothes that are suitable for the event.";"adjective"
