"karantina";"quarantine";"Kami harus menjalani masa karantina selama 14 hari setelah pulang dari luar negeri";"We have to undergo a 14-day quarantine after returning from abroad";"noun, verb"
"karet gelang";"rubber band";"Tolong berikan saya beberapa karet gelang untuk mengikat rambut saya";"Please give me some rubber bands to tie my hair";"noun"
"karpet";"carpet";"Baru-baru ini saya membeli karpet baru untuk kamar tidur saya";"Recently I bought a new carpet for my bedroom";"noun"
"kartu debit";"debit card";"Saya lebih suka membayar dengan menggunakan kartu debit daripada tunai";"I prefer to pay using debit card than cash";"noun"
"kartu kredit";"credit card";"Kartu kredit bisa sangat berguna ketika ingin berbelanja secara online";"Credit card can be very useful when shopping online";"noun"
"kartu masuk";"entry card";"Jangan lupa membawa kartu masuk untuk bisa masuk ke dalam gedung";"Don't forget to bring the entry card to enter the building";"noun"
"kartu remi";"playing card";"Pernahkah kamu bermain kartu remi saat berkemah?";"Have you ever played cards while camping?";"noun"
"kartu tanda naik pesawat";"boarding pass";"Saya sudah mencetak kartu tanda naik pesawat untuk penerbangan besok pagi";"I have printed the boarding pass for tomorrow morning's flight";"noun"
"kartun";"cartoon";"Anak-anak suka menonton kartun di televisi";"Children like to watch cartoons on TV";"noun"
"karyawan perusahaan";"company employee";"Banyak karyawan perusahaan yang bekerja dari rumah saat pandemi ini";"Many company employees are working from home during this pandemic";"noun"
"kasar";"rough";"Permukaan kulit tanganku terasa kasar karena sangat kering";"The surface of my hands feel rough because they are very dry";"adjective"
"kasual";"casual";"Dress code untuk acara ini adalah pakaian kasual";"The dress code for this event is casual attire";"adjective"
"kata";"word";"Saya tidak tahu arti dari kata itu";"I don't know the meaning of that word";"noun"
"kata benda";"noun";"Kata benda adalah salah satu dari empat jenis kata dalam bahasa Indonesia";"Noun is one of the four types of words in the Indonesian language";"noun"
"kata kerja";"verb";"Kata kerja mengungkapkan kegiatan atau tindakan";"The verb expresses activity or action";"noun"
"kata sifat";"adjective";"Kata sifat menjelaskan keadaan atau sifat suatu benda atau orang";"Adjectives describe the state or quality of an object or person";"noun"
"katun";"cotton";"Kain katun lebih nyaman dipakai di musim panas";"Cotton fabric is more comfortable to wear in the summer";"noun"
"kebakaran";"fire";"Pemadam kebakaran datang tepat waktu untuk memadamkan api yang membakar gedung itu";"The firefighters arrived just in time to put out the fire that burned the building";"noun"
"keberangkatan";"departure";"Penerbangan ke Tokyo akan berangkat dari gate nomor 5";"The flight to Tokyo will depart from gate number 5";"noun"
"keberatan";"objection";"Saya memiliki beberapa keberatan terkait proposal tersebut";"I have some objections regarding the proposal";"noun"
