"tertunda";"delayed";"Penerbangan saya tertunda dua jam";"My flight is delayed two hours";"noun, adjective"
"tes darah";"blood test";"Saya harus menjalani tes darah besok";"I have to take a blood test tomorrow";"noun"
"tetangga";"neighbor";"Saya tidak suka tetangga saya yang baru";"I don't like my new neighbor";"noun"
"Tidak";"No";"Tidak, saya tidak lapar";"No, I'm not hungry";"adverb"
"Tidak apa-apa";"It's okay";"Tidak apa-apa, saya baik-baik saja";"It's okay, I'm fine";"phrase"
"tidak besar";"not big";"Rumah ini tidak besar tetapi sangat nyaman";"This house is not big but very comfortable";"adjective"
"tidak hadir";"absent";"Saya tidak bisa hadir pada acara tersebut";"I can't be present at the event";"adjective"
"Tidak masalah";"No problem";"Tidak masalah, saya bisa menyelesaikannya";"No problem, I can handle it";"phrase"
"tidak mengenai";"not related";"Pertanyaan Anda tidak mengenai topik kita";"Your question is not related to our topic";"adjective"
"tidak pernah";"never";"Saya tidak pernah pergi ke luar negeri sebelumnya";"I have never been abroad before";"adverb"
"tidak puas";"unsatisfied";"Saya tidak puas dengan hasil kerja saya sendiri";"I am unsatisfied with my own work results";"adjective"
"tidak sah";"invalid";"Kartu identitas ini tidak sah untuk masuk ke gedung ini";"This ID card is invalid for entering this building";"adjective"
"tidak setuju";"disagree";"Saya tidak setuju dengan pendapat kamu mengenai hal ini";"I disagree with your opinion on this matter";"verb"
"tidak suka";"don't like";"Saya tidak suka minuman ini terlalu manis";"I don't like this drink too sweet";"verb"
"tidur";"sleep";"Saya butuh tidur yang cukup untuk tetap sehat";"I need enough sleep to stay healthy";"verb"
"tiga";"three";"Saya harus membeli tiga kado ulang tahun";"I have to buy three birthday gifts";"numeral"
"tiga belas";"thirteen";"Hari ini tanggal tiga belas, hari yang sial";"Today is the thirteenth, an unlucky day";"numeral"
"tiga puluh tiga";"thirty-three";"Angka keberuntungan saya adalah tiga puluh tiga";"My lucky number is thirty-three";"numeral"
"tiga ratus";"three hundred";"Harga baju itu tiga ratus ribu rupiah";"The price of that dress is three hundred thousand rupiahs";"numeral"
"tiga ribu";"three thousand";"Ada lebih dari tiga ribu jenis pisang di dunia";"There are over three thousand types of bananas in the world";"numeral"
